Gene	ExonID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
EXO1	chr1:242011535-242011655:+	0.283375112265208	0.154858068334679	0.279270186620024	0	0.39970700160414	0.0961835327850615	0.132688553115447	0	0	0	0.142419603193494	0.32483199532308	0.38173050431451	0.0977342765414514	0.454508382114759	0	0.0635063378136299	0	0.349189505233941	0
EXO1	chr1:242012033-242012329:+	0.288622799529379	0.0841204321818011	0.255997671068355	0.0279199419972564	0.325687186492262	0.391858837272473	0.405437245630532	0.0764775707886628	0.0460813666102425	0	0.319125407155792	0.105871168846041	0.414719560242924	0.159270672882365	0.555510244806928	0.043506385660534	0.0776188573277699	0.115718277382168	0.260814383538931	0
EXO1	chr1:242012414-242012518:+	0.32655608175324	0.178455488271392	0.804564109071974	0	0	0.0554200355571069	0	0.21632227165936	0.0651722184916287	0	0.410304094914589	0.22459812248053	0.366582468429013	0	0.15713004067396	0	0	0	0.0670665557671538	0
EXO1	chr1:242013711-242013888:+	0.51368372410622	0.421074747606656	0.427142181501694	0	0	0.392299128100869	0.135297597699178	0.085070556270535	0.0384442861888821	0	0.338846640182273	0.176650208692552	0.30273945426441	0.0996560179341204	0.308963563122954	0.0725921153998798	0.0863400772522385	0.241350620663652	0.197808661672785	0
EXO1	chr1:242015594-242015713:+	0.57147314306817	0	0.774392954981775	0	0	0.242462655562343	0.0668971455290378	0	0.2281027647207	0	0.574425732880425	0.0655077857234879	0.128303863950155	0	0.183318380786286	0	0	0	0	0
EXO1	chr1:242016660-242016783:+	0.506951981754022	0	0.953797774464356	0	0.195018335460085	0.187713023661168	0.323695865463086	0.244234822841213	0.165558458265024	0	0.486408886713263	0.190183894035933	0.062082514814591	0.190739475185736	0.17740488463189	0	0	0	0.0567902286737996	0
EXO1	chr1:242020647-242020784:+	0.248466583942683	0.135781349771711	0.0612168343859111	0.120177141640364	0.292056444408822	0.337339346869346	0.988914325211863	0.109728688522864	0.247937787739892	0	0.374625477965495	0.0569632919334677	0.223137154695921	0.171389093645154	0.398518219100622	0.140449962404115	0	0.124522928922116	0.357202307890276	0
EXO1	chr1:242021808-242022020:+	0.160978350160048	0.439855076725263	0.555262554148264	0.233583740089722	0.340595402775359	0.327836830056125	0.904524784617976	0	0.32127149960662	0.0338080306406617	0.970860393600718	0.959550664118696	0.180709667535429	0.0555204106174442	0.826223688050867	0.242655334106641	0	0.121015240783465	1.32243912780303	0
EXO1	chr1:242023819-242024006:+	0.455962614150136	0.897023597959924	0.449357614109347	0.0882151358849483	0.128629114877928	0.402384832635377	1.15290825273448	0.0402727633408384	0.363993773490479	0.0383037793960689	0.412486563504561	0.752642644482627	0.245688250117317	0.062903443944232	0.819082126917449	0.103096248998765	0	0.0457025643384362	1.42338062505821	0
EXO1	chr1:242024708-242024804:+	0.41240329912136	0.965867333427638	0.609643938317424	0	0	0.179972280417409	0.910352908230205	0.156108855836652	0.14109449364167	0	0.444143607897236	0.648324477263385	0.317452859258115	0	0.453571251429986	0	0	0.0885781659342887	0.435586908590793	0
EXO1	chr1:242030132-242030357:+	0.42986917841411	0.718559709411358	0.261661336357478	0.146765004835135	0.784675544447066	0.308978959300684	0.88801520613767	0.0670024735228108	0.3027912806027	0	0.876888840016578	0.973921062083714	0.545007563682073	0	0.876034740040659	0	0	0.11405418711008	0.71666253175963	0.043306309736145
